FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
82601,82601,Abruzzo,Italy,26/05/2020 02:32,42.35122196,13.39843823,3227,400,1781,1046,Abruzzo
82601,82601,Acre,Brazil,26/05/2020 02:32,-9.0238,-70.812,4501,97,0,4404,Acre
82601,82601,Aguascalientes,Mexico,26/05/2020 02:32,21.8853,-102.2916,649,26,464,159,Aguascalientes
82601,82601,Alagoas,Brazil,26/05/2020 02:32,-9.5713,-36.782,6682,337,0,6345,Alagoas
82601,82601,Alberta,Canada,26/05/2020 02:32,53.9333,-116.5765,6879,138,5979,762,Alberta
82601,82601,Amapa,Brazil,26/05/2020 02:32,0.902,-52.003,6584,168,0,6416,Amapa
82601,82601,Amazonas,Brazil,26/05/2020 02:32,-3.4168,-65.8561,30282,1781,0,28501,Amazonas
82601,82601,Andalusia,Spain,26/05/2020 02:32,37.5443,-4.7278,12450,1334,0,11116,Andalusia
82601,82601,Anguilla,United Kingdom,26/05/2020 02:32,18.2206,-63.0686,3,0,3,0,Anguilla
82601,82601,Anhui,China,26/05/2020 02:32,31.8257,117.2264,991,6,985,0,Anhui
82601,82601,Antofagasta,Chile,26/05/2020 02:32,-23.6509,-70.3975,2015,21,0,1994,Antofagasta
82601,82601,Aragon,Spain,26/05/2020 02:32,41.5976,-0.9057,5600,826,0,4774,Aragon
82601,82601,Araucania,Chile,26/05/2020 02:32,-38.9489,-72.3311,1857,45,0,1812,Araucania
82601,82601,Arica y Parinacota,Chile,26/05/2020 02:32,-18.594,-69.4785,513,7,0,506,Arica y Parinacota
82601,82601,Aruba,Netherlands,26/05/2020 02:32,12.5211,-69.9683,101,3,95,3,Aruba
82601,82601,Asturias,Spain,26/05/2020 02:32,43.3614,-5.8593,2380,288,0,2092,Asturias
82601,82601,Atacama,Chile,26/05/2020 02:32,-23.8634,-69.1328,185,0,0,185,Atacama
82601,82601,Australian Capital Territory,Australia,26/05/2020 02:32,-35.4735,149.0124,107,3,104,0,Australian Capital Territory
82601,82601,Aysen,Chile,26/05/2020 02:32,-45.9864,-73.7669,10,0,0,10,Aysen
82601,82601,Baden-Wurttemberg,Germany,26/05/2020 02:32,48.6616,9.3501,34431,1698,31300,1428,Baden-Wurttemberg
